№ п/п;Региональный Филиал;(А) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(А) Наименование населенного пункта, адрес;(А) Сетевое имя устройства СПД;(А) Тип устройст СПД (DR, AR, L2 коммутатор опорной РСПД);(А) Модель шасси/Вендор;(B) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(B) Наименование населенного пункта, адрес;(B) Сетевое имя устройства СПД;(B) Тип устройста (BRAS, BPE, RGR, DR, AR, L2 коммутатор опорной РСПД);(B) Модель шасси/Вендор;Емкость основного канала, Гбит/с;Утилизация основного канала в ЧНН, Гбит/с;Технология организации резервного канала (Нет, Прямые пачкорды, ВОЛС, ВОЛС кольцо, ВОЛС Аренда, DWDM, DWDM кольцо, CWDM, CWDM кольцо, РРЛ, SDH, , Аренда емкости);Емкость резервного канала, Гбит/с;Утилизация резервного канала в ЧНН, Гбит/с;Совокупная емкость каналов, Гбит/с;Совокупная уилизация каналов в ЧНН, Гбит/с;Совокупная уилизация каналов в ЧНН 4Q, %;Коэффициент резервирования;Коэффициент роста трафика на 4Q 2019г.;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., Гбит/с;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., %;Прогнозный Коэффициент резервирования 4Q 2019г.;Планируемые мероприятия по расширению;Комментарии;Совокупная утилизация каналов в ЧНН, Гбит/с;Совокупная утилизация каналов в ЧНН 4Q, %;;;;;
Столбец 1;Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;Столбец 14;Столбец 15;Столбец 16;Столбец 17;Столбец 18;Столбец 19;Столбец 20;Столбец 21;Столбец 22;Столбец 23;Столбец 24;Столбец 25;Столбец 26;Столбец 27;;;;;;;
56;Ростовский филиал;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Ворошилова 128);RoKShVrsh128Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,83;DWDM;;;10;1,83;18,3;;;;;;;;;;;;;;
57;Ростовский филиал;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Ворошилова 128);RoKShVrsh128Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;3,31;DWDM;;;10;3,31;33,1;;;;;;;;;;;;;;
58;Ростовский филиал;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Ворошилова 128);RoKShVrsh128Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,31;DWDM;;;10;1,31;13,1;;;;;;;;;;;;;;
59;Ростовский филиал;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Володарского 74);RoKshVldr74MX480;AR;MX480;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Ворошилова 128);RoKShVrsh128Mx480;AR;MX480;10;5,24;DWDM;;;10;5,24;52,4;;;;;;;;;;;;;;
60;Ростовский филиал;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Освобождения 13);RoKShOsvb13mx80;AR;MX80;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Ворошилова 128);RoKShVrsh128Mx480;AR;MX480;10;2,3;DWDM;;;10;2,3;23;;;;;;;;;;;;;;
61;Ростовский филиал;Рай.центр;КАШАРЫ;RoKshLnn56mx80;AR;MX80;Рай.центр;МИЛЛЕРОВО;RoMllShlh33mx480;AR;MX480;10;0,609;DWDM;;;10;0,609;6,09;;;;;;;;;;;;;;
62;Ростовский филиал;Рай.центр;КАЗАНСКАЯ;RoKazMtr22MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;0,712;DWDM;;;10;0,712;7,12;;;;;;;;;;;;;;
63;Ростовский филиал;Рай.центр;КАЗАНСКАЯ;RoKazMtr22MX80;AR;MX80;Рай.центр;ЧЕРТКОВО;RoCrtPrv18MX80;AR;MX80;10;0,045;DWDM;;;10;0,045;0,45;;;;;;;;;;;;;;
64;Ростовский филиал;Рай.центр;КАЗАНСКАЯ;RoKazMtr22MX80;AR;MX80;Рай.центр;АЛЕКСЕЕВО-ЛАЗОВСКОЕ;RoCrtALzvMX80;AR;MX80;10;0,171;DWDM;;;10;0,171;1,71;;;;;;;;;;;;;;
65;Ростовский филиал;Рай.центр;КОНСТАНТИНОВСК;RoKnsLnn46mx80;AR;MX80;Рай.центр;СЕМИКАРАКОРСК;ROSmkArbs10MX480;AR;MX80;10;3,89;ВОЛС;;;10;3,89;38,9;;;;;;;;;;;;;;
