Места установки камер;Адрес объекта;Кол-во в/к;Тип в/к;Координаты расположения в/к;Пропускная способность, Мбит/с;Vlan;Агрегат ПМ;Порт ПМ;Коммутатор ПМ;Порт ПМ;Hostname;Примечание;;;;;;
Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;;;;;;;
Перекресток Пушкинская-Буденновский (В направлении входа в заборной конструкции штаба ЮВО);ул. Пушкинская, 53к1 (на углу здания, над торговым помещением);1;стационарная;47.223287;39.704931;10;;;;;;;;;;;;
Перекресток Пушкинская-Буденновский (В направлении центра перекрестка);пр. Буденновский, 43 (опора со светофором, рядом с пешеходным переходом);1;купольная;47.223519;39.705958;10;;;;;;;;;;;;
Перекресток Пушкинская-Буденновский (В направлении памятнику С.М.Буденному);пр. Буденновский, 41/48 (опора с троллейбусными линиями);1;стационарная;47.223024;39.706159;10;;;;;;;;;;;;
Перекресток Пушкинская-Буденновский (В направлении центра перекрестка);ул. Пушкинская, 50 (опора светофора, рядом с пешеходным переходом);1;купольная;47.223128;39.706559;10;;;;;;;;;;;;
Перекресток Пушкинская-Буденновский (В направлении спуска по пр. Буденновскому);ул. Пушкинская, 50 (опора светофора, рядом с пешеходным переходом);1;стационарная;47.223128;39.706559;10;;;;;;;;;;;;
Перекресток Пушкинская-Буденновский (В направлении здания штаба и пешеходной зоны);пр. Буденновский, 44 (опора со светофором, рядом с пешеходным переходом);1;купольная;47.223572;39.706352;10;;;;;;;;;;;;
Перекресток Пушкинская-Буденновский (В направлении гостиницы Континенталь);ул. Пушкинская, 50Б (опора освещения, рядом с проезжей частью);1;стационарная;47.223443;39.707570;10;;;;;;;;;;;;
Перекресток Пушкинская-Газетный (В направлении перекрестка на пешеходной зоне);ул. Пушкинская, 105 (опора освещения со знаком Проезд запрещен);1;стационарная;47.225231;39.714471;10;;;;;;;;;;;;
Перекресток Пушкинская-Газетный (В направлении ул. Пушкинская 72/77);ул. Пушкинская, 74/70 (опора освещения рядом со знаком Парковка);1;стационарная;47.224883;39.714575;10;;;;;;;;;;;;
Университет РАНХиГС (В направлении на вход в институт и по направлению ул. Семашко);ул. Пушкинская, 56;2;стационарная;47.224582;39.712937;20;;;;;;;;;;;;
Перекресток Пушкинская-Семашко (В направлении спуска по пер. Семашко);ул. Пушкинская, 89 (опора освещения рядом со зданием);1;стационарная;47.224613;39.711577;10;;;;;;;;;;;;
Перекресток Пушкинская-Семашко (В направлении перекрестка, пешеходная зона);ул. Пушкинская, 70 (опора освещения рядом с ЗГАСом);1;стационарная;47.224668;39.711800;10;;;;;;;;;;;;
Дворец Спорта (В направлении площади здоровья);пер. Халтуринский, 103 (2ая опора по ул. Холтуринской от ул. Малюгиной);1;стационарная;47.228806;39.698076;10;;;;;;;;;;;;
Дворец Спорта (В направлении входа в Дворец Спорта);пер. Зарядный (заборная конструкция Дворца Спорта);1;стационарная;47.227500;39.695662;10;;;;;;;;;;;;
Дворец Спорта (В обоих направлениях по ул. Малюгиной, на вход в отель Ramada и Дворец Здоровья);ул. Малюгиной, 123 (опора освещения напротив здания, рядом с проезжей частью);3;стационарная;47.228614;39.695267;30;;;;;;;;;;;;
Дворец Спорта (В направлении на въезд в БЦ Гвардейский и по пер. Доломановскому);пер. Доломановский, 70Д (опора освещения рядом с проезжей частью);2;стационарная;47.226761;39.695166;20;;;;;;;;;;;;
Парк Строителей (В направлении входа в парк, со стороны ул. Малюгиной);ул. Малюгиной, 121 (опора на территории парка, рядом с переходом);1;стационарная;47.229677;39.700611;10;;;;;;;;;;;;
Парк Строителей (В направлении центра парка и входа в парк со стороны пр. Буденновского);Напротив памятника Жертвам Политических Репрессий;2;стационарная;47.229847;39.701461;20;;;;;;;;;;;;
Парк Строителей (В направлении выхода из парка по ул. Филимоновской);ул. Филимоновская, 92 (опора освещения, на стороне парка);1;стационарная;47.229153;39.701738;10;;;;;;;;;;;;
Правительство РО (В направлении на пешеходную зону вдоль пр. Ворошиловского);пр. Ворошиловский, 14 (опора около парковочного комплекса);2;стационарная;47.221079;39.719460;20;;;;;;;;;;;;
Правительство РО (В направлении перекрестка ул. Соколова и пр. Станиславского);ул. Социалистическая, 117 (опора светофора, рядом с пешеходным переходом);1;стационарная;47.221998;39.721761;10;;;;;;;;;;;;
Правительство РО (В направлении перекрестка ул. Соколова и ул. Б.Садовой);ул. Социалистическая, 117 (опора светофора, рядом с пешеходным переходом);1;стационарная;47.221998;39.721761;10;;;;;;;;;;;;
Западный выезд (В направлении из Ростова);ул. Всесоюзная (опора освещения на мостовой конструкции, въезд в город);1;определения ГРЗ;47.187098;39.637076;10;;;;;;;;;;;;
Западный выезд (В направлении из Ростова);ул. Всесоюзная (опора освещения на мостовой конструкции, выезд из города);1;определения ГРЗ;47.187047;39.636819;10;;;;;;;;;;;;
Проспект 40-летия Победы (В обоих направлениях);Проспект 40-летия Победы, 2а (арочная конструкция через всю дорогу);2;стационарная;47.233729;39.787821;20;;;;;;;;;;;;
Проспект 40-летия Победы (В обоих направлениях);Проспект 40-летия Победы, 328 (опорные конструкции);2;стационарная;47.242742;39.838922;20;;;;;;;;;;;;
Проспект Космонавтов (В обоих направлениях);Проспект Космонавтов,15 (арочная конструкция);2;стационарная;47.284108;39.715959;20;;;;;;;;;;;;
Проспект Шолохова (В направлении стадиона Олимп 21 век);Проспект Шолохова, 76 (опора освещения автодороги);1;определения ГРЗ;47.240250;39.754933;10;;;;;;;;;;;;
Проспект Шолохова (В обоих направлениях);Проспект Шолохова, 264/3 (пешеходный переходной мост);2;стационарная;47.256315;39.798122;20;;;;;;;;;;;;
Проспект Стачки (В обоих направлениях);Проспект Стачки, 9 (пешеходный переходной мост);2;стационарная;47.211617;39.686422;20;;;;;;;;;;;;
Площадь Гагарина (В направлении кольцевой автодороги);Площадь Гагарина, ул. Текучёва, 264 (ориентир пешеходный переход);1;купольная;47.236277;39.712427;10;;;;;;;;;;;;
Переходной мост на Штахановского (В обоих направлениях);ул. Штахановского, 19 (пешеходный переходной мост);2;определения ГРЗ;47.290147;39.737904;20;;;;;;;;;;;;
Мост Текучева (В обоих направлениях);ул. Текучева, 20а (опорные конструкции рядом с проезжей частью);2;стационарная;47.228451;39.674255;20;;;;;;;;;;;;
Большая Садовая (В обоих направлениях);Ул. Б.Садовая, 188А (опора освещения, в 20м от подземного перехода);2;определения ГРЗ;47.227330;39.742506;20;;;;;;;;;;;;
Парковая зона Левый берег;Ул. Левобережная 1-9;1;стационарная;47.21221;39.73689;10;;;;;;;;;;;;
